credit_risk,age,amount,credit_history,duration,employment_duration,personal_status_sex,purpose
good,36,1374,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,39,426,delay in paying off in the past,6,>= 7 yrs,female : single,furniture/equipment
good,42,409,critical account/other credits elsewhere,12,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,34,2415,no credits taken/all credits paid back duly,7,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
bad,63,6836,existing credits paid back duly till now,60,>= 7 yrs,male : married/widowed,retraining
good,36,1913,no credits taken/all credits paid back duly,18,< 1 yr,female : single,retraining
good,27,4020,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,30,5866,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,others
good,57,1264,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,retraining
good,33,1474,no credits taken/all credits paid back duly,12,< 1 yr,female : non-single or male : single,car (used)
bad,25,4746,all credits at this bank paid back duly,45,< 1 yr,male : married/widowed,furniture/equipment
good,31,6110,all credits at this bank paid back duly,48,1 <= ... < 4 yrs,male : married/widowed,repairs
bad,37,2100,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,37,1225,no credits taken/all credits paid back duly,10,1 <= ... < 4 yrs,male : married/widowed,radio/television
good,24,458,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,30,2333,no credits taken/all credits paid back duly,30,>= 7 yrs,male : married/widowed,furniture/equipment
good,26,1158,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : divorced/separated,furniture/equipment
good,44,6204,existing credits paid back duly till now,18,1 <= ... < 4 yrs,male : married/widowed,domestic appliances
good,24,6187,all credits at this bank paid back duly,30,4 <= ... < 7 yrs,female : single,car (new)
bad,58,6143,all credits at this bank paid back duly,48,>= 7 yrs,female : non-single or male : single,car (new)
good,35,1393,all credits at this bank paid back duly,11,< 1 yr,female : non-single or male : single,others
good,39,2299,no credits taken/all credits paid back duly,36,>= 7 yrs,male : married/widowed,furniture/equipment
good,23,1352,no credits taken/all credits paid back duly,6,unemployed,female : non-single or male : single,car (new)
good,39,7228,all credits at this bank paid back duly,11,1 <= ... < 4 yrs,male : married/widowed,others
good,28,2073,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,29,2333,existing credits paid back duly till now,24,< 1 yr,male : married/widowed,car (used)
good,30,5965,existing credits paid back duly till now,27,>= 7 yrs,male : married/widowed,car (new)
good,25,1262,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,31,3378,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,car (new)
bad,57,2225,existing credits paid back duly till now,36,>= 7 yrs,male : married/widowed,others
good,26,783,critical account/other credits elsewhere,6,1 <= ... < 4 yrs,male : married/widowed,others
bad,52,6468,no credits taken/all credits paid back duly,12,unemployed,male : married/widowed,furniture/equipment
good,31,9566,all credits at this bank paid back duly,36,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,23,1961,no credits taken/all credits paid back duly,18,>= 7 yrs,female : non-single or male : single,others
bad,23,6229,all credits at this bank paid back duly,36,< 1 yr,female : non-single or male : single,car (used)
good,27,1391,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,female : single,retraining
good,50,1537,all credits at this bank paid back duly,15,>= 7 yrs,male : married/widowed,furniture/equipment
bad,61,1953,delay in paying off in the past,36,>= 7 yrs,male : married/widowed,retraining
bad,25,14421,delay in paying off in the past,48,1 <= ... < 4 yrs,male : married/widowed,retraining
good,26,3181,no credits taken/all credits paid back duly,24,< 1 yr,female : non-single or male : single,furniture/equipment
good,48,5190,no credits taken/all credits paid back duly,27,>= 7 yrs,male : married/widowed,domestic appliances
good,29,2171,no credits taken/all credits paid back duly,12,< 1 yr,female : non-single or male : single,furniture/equipment
good,22,1007,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : single,others
bad,37,1819,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,repairs
good,25,2394,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,30,8133,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,female : non-single or male : single,car (new)
good,46,730,all credits at this bank paid back duly,7,>= 7 yrs,male : married/widowed,furniture/equipment
good,51,1164,all credits at this bank paid back duly,8,>= 7 yrs,male : married/widowed,business
good,41,5954,all credits at this bank paid back duly,42,4 <= ... < 7 yrs,female : non-single or male : single,retraining
bad,40,1977,no credits taken/all credits paid back duly,36,>= 7 yrs,male : married/widowed,repairs
good,66,1526,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,car (new)
bad,34,3965,no credits taken/all credits paid back duly,42,< 1 yr,male : married/widowed,furniture/equipment
good,51,4771,existing credits paid back duly till now,11,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,39,9436,delay in paying off in the past,54,1 <= ... < 4 yrs,male : married/widowed,car (new)
good,22,3832,no credits taken/all credits paid back duly,30,< 1 yr,female : single,car (used)
bad,44,5943,no credits taken/all credits paid back duly,24,< 1 yr,female : non-single or male : single,furniture/equipment
good,47,1213,no credits taken/all credits paid back duly,15,>= 7 yrs,male : married/widowed,furniture/equipment
good,24,1568,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,female : non-single or male : single,retraining
good,58,1755,no credits taken/all credits paid back duly,24,>= 7 yrs,female : non-single or male : single,business
good,52,2315,no credits taken/all credits paid back duly,10,>= 7 yrs,male : married/widowed,furniture/equipment
good,29,1412,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,retraining
good,27,1295,all credits at this bank paid back duly,18,< 1 yr,female : non-single or male : single,car (used)
bad,47,12612,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,repairs
good,30,2249,no credits taken/all credits paid back duly,18,4 <= ... < 7 yrs,male : married/widowed,others
bad,28,1108,delay in paying off in the past,12,4 <= ... < 7 yrs,male : married/widowed,domestic appliances
good,56,618,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,furniture/equipment
good,54,1409,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,car (new)
bad,33,797,all credits at this bank paid back duly,12,>= 7 yrs,female : non-single or male : single,furniture/equipment
good,20,3617,all credits at this bank paid back duly,24,>= 7 yrs,male : married/widowed,car (used)
good,54,1318,no credits taken/all credits paid back duly,12,>= 7 yrs,male : married/widowed,others
bad,58,15945,delay in paying off in the past,54,< 1 yr,male : married/widowed,retraining
good,61,2012,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,female : non-single or male : single,repairs
good,34,2622,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,retraining
good,36,2337,all credits at this bank paid back duly,36,>= 7 yrs,male : married/widowed,furniture/equipment
good,36,7057,existing credits paid back duly till now,20,4 <= ... < 7 yrs,male : married/widowed,car (new)
good,41,1469,no credits taken/all credits paid back duly,24,>= 7 yrs,female : single,others
good,24,2323,no credits taken/all credits paid back duly,36,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,24,932,existing credits paid back duly till now,6,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,35,1919,all credits at this bank paid back duly,9,4 <= ... < 7 yrs,male : married/widowed,car (used)
good,26,2445,no credits taken/all credits paid back duly,12,< 1 yr,female : single,car (new)
bad,39,11938,all credits at this bank paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,business
bad,39,6458,critical account/other credits elsewhere,18,>= 7 yrs,male : married/widowed,others
good,32,6078,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,others
good,30,7721,no credits taken/all credits paid back duly,24,< 1 yr,female : non-single or male : single,car (used)
good,35,1410,no credits taken/all credits paid back duly,14,>= 7 yrs,female : single,retraining
good,31,1449,existing credits paid back duly till now,6,>= 7 yrs,male : divorced/separated,retraining
good,23,392,no credits taken/all credits paid back duly,15,< 1 yr,female : non-single or male : single,repairs
good,28,6260,no credits taken/all credits paid back duly,18,4 <= ... < 7 yrs,male : married/widowed,others
bad,25,7855,all credits at this bank paid back duly,36,1 <= ... < 4 yrs,female : non-single or male : single,others
good,35,1680,no credits taken/all credits paid back duly,12,>= 7 yrs,female : single,furniture/equipment
good,47,3578,all credits at this bank paid back duly,48,>= 7 yrs,male : married/widowed,furniture/equipment
bad,30,7174,no credits taken/all credits paid back duly,42,4 <= ... < 7 yrs,female : non-single or male : single,furniture/equipment
good,27,2132,all credits at this bank paid back duly,10,< 1 yr,female : non-single or male : single,car (used)
bad,23,4281,all credits at this bank paid back duly,33,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
good,36,2366,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,male : divorced/separated,others
bad,25,1835,no credits taken/all credits paid back duly,21,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,41,3868,all credits at this bank paid back duly,24,>= 7 yrs,female : non-single or male : single,car (new)
good,24,1768,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,63,781,all credits at this bank paid back duly,10,>= 7 yrs,male : married/widowed,others
bad,27,1924,no credits taken/all credits paid back duly,18,< 1 yr,female : non-single or male : single,car (used)
good,30,2121,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,others
good,40,701,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : single,furniture/equipment
bad,30,639,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,domestic appliances
good,34,1860,all credits at this bank paid back duly,12,unemployed,male : married/widowed,car (new)
bad,29,3499,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,others
good,24,8487,no credits taken/all credits paid back duly,48,4 <= ... < 7 yrs,female : non-single or male : single,others
bad,29,6887,existing credits paid back duly till now,36,1 <= ... < 4 yrs,male : married/widowed,repairs
good,27,2708,no credits taken/all credits paid back duly,15,< 1 yr,male : married/widowed,car (used)
good,47,1984,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,21,10144,no credits taken/all credits paid back duly,60,4 <= ... < 7 yrs,female : non-single or male : single,furniture/equipment
good,38,1240,all credits at this bank paid back duly,12,>= 7 yrs,female : non-single or male : single,furniture/equipment
good,27,8613,existing credits paid back duly till now,27,1 <= ... < 4 yrs,male : married/widowed,car (new)
bad,66,766,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,35,2728,all credits at this bank paid back duly,15,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,44,1881,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,27,709,no credits taken/all credits paid back duly,6,< 1 yr,female : single,others
good,30,4795,no credits taken/all credits paid back duly,36,< 1 yr,female : non-single or male : single,furniture/equipment
good,27,3416,no credits taken/all credits paid back duly,27,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
bad,22,2462,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,23,2288,all credits at this bank paid back duly,21,< 1 yr,female : non-single or male : single,car (used)
good,30,3566,critical account/other credits elsewhere,48,4 <= ... < 7 yrs,male : married/widowed,retraining
good,39,860,all credits at this bank paid back duly,6,>= 7 yrs,female : non-single or male : single,others
good,51,682,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,female : non-single or male : single,others
good,28,5371,all credits at this bank paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,46,1582,all credits at this bank paid back duly,18,>= 7 yrs,male : married/widowed,furniture/equipment
good,42,1346,no credits taken/all credits paid back duly,6,>= 7 yrs,male : married/widowed,furniture/equipment
good,38,1924,no credits taken/all credits paid back duly,10,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,24,5848,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,29,7758,all credits at this bank paid back duly,24,>= 7 yrs,female : non-single or male : single,car (new)
good,36,6967,existing credits paid back duly till now,24,4 <= ... < 7 yrs,male : married/widowed,retraining
bad,20,1282,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
good,48,1288,all credits at this bank paid back duly,9,>= 7 yrs,male : married/widowed,domestic appliances
good,45,339,critical account/other credits elsewhere,12,>= 7 yrs,female : single,vacation
good,38,3512,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,male : married/widowed,others
good,34,1898,all credits at this bank paid back duly,6,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,36,2872,all credits at this bank paid back duly,24,>= 7 yrs,male : married/widowed,furniture/equipment
good,30,1055,all credits at this bank paid back duly,18,< 1 yr,female : non-single or male : single,others
good,36,1262,no credits taken/all credits paid back duly,15,4 <= ... < 7 yrs,male : married/widowed,radio/television
good,70,7308,no credits taken/all credits paid back duly,10,unemployed,male : married/widowed,others
good,36,909,no credits taken/all credits paid back duly,36,>= 7 yrs,male : married/widowed,others
good,32,2978,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,male : married/widowed,car (used)
bad,33,1131,no credits taken/all credits paid back duly,18,unemployed,female : non-single or male : single,car (used)
good,20,1577,no credits taken/all credits paid back duly,11,< 1 yr,female : non-single or male : single,car (used)
good,25,3972,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,female : non-single or male : single,car (used)
bad,31,1935,all credits at this bank paid back duly,24,>= 7 yrs,male : divorced/separated,retraining
bad,33,950,delay in paying off in the past,15,>= 7 yrs,male : married/widowed,others
good,26,763,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
bad,34,2064,existing credits paid back duly till now,24,unemployed,female : non-single or male : single,car (used)
good,33,1414,no credits taken/all credits paid back duly,8,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
bad,26,3414,existing credits paid back duly till now,21,< 1 yr,male : married/widowed,repairs
bad,53,7485,critical account/other credits elsewhere,30,unemployed,female : non-single or male : single,car (new)
good,42,2577,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : divorced/separated,car (used)
good,52,338,all credits at this bank paid back duly,6,>= 7 yrs,male : married/widowed,furniture/equipment
good,31,1963,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,65,571,all credits at this bank paid back duly,21,>= 7 yrs,male : married/widowed,others
bad,28,9572,existing credits paid back duly till now,36,< 1 yr,male : divorced/separated,retraining
bad,30,4455,existing credits paid back duly till now,36,1 <= ... < 4 yrs,male : divorced/separated,retraining
bad,40,1647,critical account/other credits elsewhere,21,1 <= ... < 4 yrs,male : married/widowed,others
good,50,3777,all credits at this bank paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,car (used)
bad,36,884,all credits at this bank paid back duly,18,>= 7 yrs,male : married/widowed,others
good,31,1360,all credits at this bank paid back duly,15,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
bad,74,5129,critical account/other credits elsewhere,9,>= 7 yrs,female : non-single or male : single,car (new)
good,68,1175,all credits at this bank paid back duly,16,unemployed,male : married/widowed,others
bad,20,674,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,female : single,furniture/equipment
good,33,3244,delay in paying off in the past,18,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
bad,54,4591,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,retraining
bad,34,3844,delay in paying off in the past,48,4 <= ... < 7 yrs,male : married/widowed,retraining
bad,36,3915,no credits taken/all credits paid back duly,27,1 <= ... < 4 yrs,male : married/widowed,retraining
good,29,2108,no credits taken/all credits paid back duly,6,4 <= ... < 7 yrs,female : single,furniture/equipment
bad,21,3031,no credits taken/all credits paid back duly,45,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
bad,34,1501,all credits at this bank paid back duly,9,>= 7 yrs,female : non-single or male : single,repairs
good,28,1382,all credits at this bank paid back duly,6,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
bad,27,951,no credits taken/all credits paid back duly,12,< 1 yr,female : non-single or male : single,car (used)
good,36,2760,no credits taken/all credits paid back duly,24,>= 7 yrs,male : married/widowed,car (new)
bad,40,4297,existing credits paid back duly till now,18,>= 7 yrs,male : divorced/separated,car (used)
good,52,936,all credits at this bank paid back duly,9,>= 7 yrs,male : married/widowed,repairs
good,27,1168,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : single,others
good,26,5117,existing credits paid back duly till now,27,4 <= ... < 7 yrs,male : married/widowed,retraining
bad,21,902,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,female : single,vacation
good,38,1495,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,others
good,38,10623,all credits at this bank paid back duly,30,>= 7 yrs,male : married/widowed,car (new)
good,43,1935,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,car (used)
good,26,1424,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,radio/television
good,21,6568,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,female : single,retraining
good,55,1413,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,car (new)
good,33,3074,all credits at this bank paid back duly,9,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,45,3835,no credits taken/all credits paid back duly,36,>= 7 yrs,female : non-single or male : single,furniture/equipment
bad,50,5293,delay in paying off in the past,27,unemployed,male : married/widowed,retraining
bad,66,1908,existing credits paid back duly till now,30,>= 7 yrs,male : married/widowed,retraining
good,51,3342,all credits at this bank paid back duly,36,>= 7 yrs,male : married/widowed,furniture/equipment
good,39,932,all credits at this bank paid back duly,6,4 <= ... < 7 yrs,female : non-single or male : single,vacation
good,31,3104,delay in paying off in the past,18,4 <= ... < 7 yrs,male : married/widowed,retraining
good,23,3913,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,24,3021,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,male : divorced/separated,car (used)
good,64,1364,no credits taken/all credits paid back duly,10,1 <= ... < 4 yrs,female : non-single or male : single,others
good,26,625,no credits taken/all credits paid back duly,12,< 1 yr,female : single,furniture/equipment
good,23,1200,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,repairs
good,30,707,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,32,2978,existing credits paid back duly till now,24,1 <= ... < 4 yrs,male : married/widowed,retraining
good,30,4657,no credits taken/all credits paid back duly,15,1 <= ... < 4 yrs,male : married/widowed,car (new)
good,27,2613,delay in paying off in the past,36,1 <= ... < 4 yrs,male : married/widowed,domestic appliances
bad,27,10961,no credits taken/all credits paid back duly,48,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
bad,53,7865,no credits taken/all credits paid back duly,12,>= 7 yrs,male : married/widowed,car (used)
bad,22,1478,no credits taken/all credits paid back duly,9,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,22,3149,no credits taken/all credits paid back duly,24,< 1 yr,male : married/widowed,car (used)
bad,26,4210,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,51,2507,no credits taken/all credits paid back duly,9,>= 7 yrs,male : married/widowed,others
good,35,2141,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,25,866,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,female : single,furniture/equipment
good,42,1544,all credits at this bank paid back duly,4,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
bad,30,1823,no credits taken/all credits paid back duly,24,unemployed,male : married/widowed,furniture/equipment
bad,23,14555,no credits taken/all credits paid back duly,6,unemployed,male : married/widowed,others
bad,61,2767,no credits taken/all credits paid back duly,21,>= 7 yrs,male : divorced/separated,retraining
good,35,1291,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,39,2522,no credits taken/all credits paid back duly,30,>= 7 yrs,male : married/widowed,furniture/equipment
bad,29,915,no credits taken/all credits paid back duly,24,>= 7 yrs,female : non-single or male : single,others
good,51,1595,no credits taken/all credits paid back duly,6,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
bad,24,4605,delay in paying off in the past,48,>= 7 yrs,male : married/widowed,car (new)
good,27,1185,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,retraining
good,35,3447,critical account/other credits elsewhere,12,1 <= ... < 4 yrs,female : non-single or male : single,vacation
good,25,1258,no credits taken/all credits paid back duly,24,4 <= ... < 7 yrs,male : married/widowed,retraining
good,52,717,all credits at this bank paid back duly,12,>= 7 yrs,male : married/widowed,furniture/equipment
good,35,1204,delay in paying off in the past,6,1 <= ... < 4 yrs,male : married/widowed,others
good,26,1925,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,car (used)
bad,22,433,no credits taken/all credits paid back duly,18,unemployed,female : non-single or male : single,furniture/equipment
good,39,666,all credits at this bank paid back duly,6,4 <= ... < 7 yrs,female : non-single or male : single,others
good,46,2251,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,car (used)
bad,24,2150,no credits taken/all credits paid back duly,30,1 <= ... < 4 yrs,female : non-single or male : single,others
good,35,4151,existing credits paid back duly till now,24,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,24,2030,no credits taken/all credits paid back duly,9,4 <= ... < 7 yrs,male : married/widowed,car (used)
good,27,7418,existing credits paid back duly till now,60,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,35,2684,all credits at this bank paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
bad,29,2149,critical account/other credits elsewhere,12,1 <= ... < 4 yrs,male : divorced/separated,furniture/equipment
good,23,3812,no credits taken/all credits paid back duly,15,< 1 yr,female : non-single or male : single,car (new)
good,57,1154,all credits at this bank paid back duly,11,unemployed,female : non-single or male : single,furniture/equipment
good,27,1657,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,55,1603,no credits taken/all credits paid back duly,24,>= 7 yrs,female : non-single or male : single,furniture/equipment
good,36,5302,all credits at this bank paid back duly,18,>= 7 yrs,male : married/widowed,others
good,57,2748,all credits at this bank paid back duly,12,>= 7 yrs,female : non-single or male : single,repairs
good,32,1231,all credits at this bank paid back duly,10,>= 7 yrs,male : married/widowed,others
bad,37,802,no credits taken/all credits paid back duly,15,>= 7 yrs,male : married/widowed,furniture/equipment
good,36,6304,all credits at this bank paid back duly,36,>= 7 yrs,male : married/widowed,retraining
good,38,1533,no credits taken/all credits paid back duly,24,< 1 yr,female : non-single or male : single,furniture/equipment
bad,45,8978,no credits taken/all credits paid back duly,14,>= 7 yrs,male : divorced/separated,others
good,25,999,no credits taken/all credits paid back duly,24,>= 7 yrs,male : married/widowed,furniture/equipment
good,32,2662,no credits taken/all credits paid back duly,18,4 <= ... < 7 yrs,male : married/widowed,others
good,37,1402,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,female : non-single or male : single,car (used)
good,36,12169,critical account/other credits elsewhere,48,unemployed,male : married/widowed,others
bad,28,3060,no credits taken/all credits paid back duly,48,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
bad,34,11998,no credits taken/all credits paid back duly,30,< 1 yr,male : divorced/separated,domestic appliances
good,32,2697,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,26,2404,all credits at this bank paid back duly,18,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
good,49,1262,no credits taken/all credits paid back duly,12,>= 7 yrs,male : divorced/separated,car (used)
bad,32,4611,no credits taken/all credits paid back duly,6,< 1 yr,female : non-single or male : single,car (used)
good,29,1901,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,male : married/widowed,furniture/equipment
good,23,3368,all credits at this bank paid back duly,15,>= 7 yrs,male : married/widowed,car (new)
good,50,1574,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,male : married/widowed,car (used)
good,49,1445,critical account/other credits elsewhere,18,4 <= ... < 7 yrs,male : married/widowed,furniture/equipment
good,63,1520,all credits at this bank paid back duly,15,>= 7 yrs,male : married/widowed,car (used)
good,37,3878,all credits at this bank paid back duly,24,< 1 yr,male : divorced/separated,others
good,35,10722,no credits taken/all credits paid back duly,47,< 1 yr,female : non-single or male : single,others
good,26,4788,no credits taken/all credits paid back duly,48,4 <= ... < 7 yrs,male : married/widowed,car (new)
good,31,7582,existing credits paid back duly till now,48,unemployed,male : married/widowed,business
good,49,1092,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : non-single or male : single,furniture/equipment
bad,48,1024,existing credits paid back duly till now,24,< 1 yr,female : single,furniture/equipment
good,26,1076,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,female : single,retraining
bad,28,9398,no credits taken/all credits paid back duly,36,< 1 yr,female : single,car (new)
