"","x1","x2","x3","x4","y"
"52",-1,-1,-1,-1,-0.54570900865836
"53",1,1,1,-1,2.1016259828737
"54",-1,-1,-1,-1,-0.641178702625873
"55",-1,-1,1,1,2.69058703987385
"56",1,1,1,1,1.81436849877678
"57",1,-1,-1,1,-1.59054532875612
"58",-1,1,-1,-1,-0.617115713543852
"59",-1,1,-1,-1,-1.03415147915954
"60",-1,-1,-1,1,0.576171897372547
"61",1,-1,-1,-1,-1.76448727446303
"62",-1,-1,1,-1,0.480873107171005
"63",-1,1,1,-1,-0.563253408456455
"64",-1,-1,1,1,3.20233662712691
"65",-1,1,1,-1,0.572337712020174
"66",1,-1,-1,1,-0.66480149139387
"67",-1,1,1,-1,-1.19950539308501
"68",1,-1,1,-1,0.601076245626531
"69",1,1,-1,1,-0.935193108633952
"70",1,-1,-1,-1,-3.18492467310702
"71",1,1,1,1,4.90399995675724
"72",1,-1,1,1,0.280420079629593
"73",1,-1,1,1,-0.258442045575417
"74",1,1,1,-1,1.50230594104546
"75",-1,1,1,-1,-0.3503308376076
"76",1,-1,1,1,-0.862684411975677
"77",1,-1,-1,-1,-0.978182257579732
"78",-1,1,-1,1,-0.109207944250577
"79",-1,-1,-1,-1,-1.12063066095983
"80",1,1,1,1,-0.744277885178252
"81",1,-1,-1,-1,-1.77080055628053
"82",-1,1,-1,-1,-2.0062392816772
"83",-1,1,1,-1,1.38955334652655
"84",-1,1,1,-1,-0.855711357656075
"85",1,1,-1,1,-0.0353261322656752
"86",-1,-1,1,1,4.10803939658615
"87",-1,-1,1,1,3.6381256451672
"88",1,1,-1,1,0.275104322461495
"89",-1,1,-1,-1,-2.25106162654527
"90",-1,1,-1,1,-2.15915942664021
"91",1,1,-1,-1,-0.541718117421929
"92",-1,-1,1,1,4.00497890725077
"93",-1,-1,-1,1,0.702864822283904
"94",1,-1,-1,1,-1.55101718872643
"95",1,1,-1,-1,-0.517891466132808
"96",1,-1,-1,1,-1.89290567029892
"97",1,1,1,-1,1.3380879219446
"98",1,-1,1,1,0.0956519981105382
"99",1,-1,1,-1,-0.230459259516912
"100",-1,1,1,1,-1.36976680436281
"101",-1,1,-1,1,-1.54369627646059
"102",1,1,1,1,0.52271859627461
"103",-1,1,-1,1,-4.29951289721988
"104",-1,1,1,1,-0.695440030686918
"105",1,1,1,1,3.36276437352717
"106",-1,1,-1,1,-0.315442725135738
"107",1,-1,1,-1,0.0938953516816087
"108",1,1,-1,-1,-1.76533038485802
"109",-1,-1,1,-1,2.76927610923723
"110",1,1,-1,1,-0.949100777847883
"111",1,-1,-1,-1,-1.16801290980073
"112",-1,1,-1,-1,-2.22160842993816
"113",-1,1,1,1,1.66095447406836
"114",-1,1,-1,1,-1.85564888075068
"115",1,-1,1,-1,0.0194344582515902
"116",-1,1,-1,1,-0.380284799576837
"117",-1,-1,1,-1,2.18603612822253
"118",1,1,1,1,1.99795478764546
"119",1,1,1,-1,2.16939156579164
"120",-1,-1,1,-1,3.03927610375417
"121",1,-1,-1,1,-1.992928022654
"122",1,1,1,-1,2.16139565172993
"123",1,1,1,-1,3.85575155563656
"124",1,1,1,-1,2.19575520452793
"125",-1,-1,-1,-1,1.05987668079316
"126",1,-1,1,1,1.0390222046426
"127",1,1,1,1,0.960080501538643
"128",1,1,1,-1,2.42825145658661
"129",1,1,1,-1,0.824101838575811
"130",-1,-1,-1,1,0.448230720663036
"131",1,-1,1,-1,-1.80471681814279
"132",1,1,-1,-1,0.333351482110827
"133",-1,-1,-1,-1,-0.807231003295406
"134",1,1,1,-1,2.91784660116946
"135",1,-1,1,1,-0.905445617324448
"136",-1,-1,1,-1,2.76475427926087
"137",-1,1,1,1,0.490288309428421
"138",1,1,-1,-1,-0.289174357293123
"139",1,1,1,1,2.51369080198356
"140",-1,-1,1,1,2.05803082019722
"141",1,1,-1,-1,-0.00746017830190629
"142",-1,-1,1,-1,1.0248487649221
"143",1,1,1,1,2.86397769208918
"144",1,1,1,1,0.977483276849757
"145",1,-1,1,-1,-0.375478777148921
"146",1,-1,1,1,0.503278701649879
"147",-1,1,-1,-1,-1.85525110724792
"148",-1,-1,-1,1,-0.72969568201284
"149",-1,1,1,-1,-0.90256507516575
"150",1,-1,1,1,0.0784614739775135
"151",-1,1,-1,1,-0.934040475654997
"152",-1,-1,1,1,1.12837244289669
"153",1,-1,1,1,-0.588977639996055
"154",1,1,1,-1,2.66668177493567
"155",1,-1,1,1,1.12990923236329
"156",1,1,-1,1,-0.880778664575101
"157",-1,1,1,1,-1.0749655075181
"158",-1,1,1,-1,0.209598321591171
"159",-1,1,-1,1,-3.03424774691933
"160",-1,1,-1,-1,-2.34801455616147
"161",1,-1,1,1,0.43442974427426
"162",1,1,-1,1,1.07796513306494
"163",1,1,1,-1,3.57918445978989
"164",1,-1,-1,1,-2.22214421849261
"165",1,-1,1,1,-0.860555351959227
"166",1,-1,-1,-1,-1.90979330910787
"167",1,1,-1,-1,1.21298110183587
"168",1,-1,-1,-1,-4.01077725358776
"169",-1,1,-1,1,-3.19264157686108
"170",-1,-1,1,1,1.67509017746996
"171",-1,-1,-1,-1,0.388590392347273
"172",1,-1,1,1,-0.536611671697152
"173",-1,-1,1,1,2.62074080839138
"174",1,1,1,-1,1.97310908333034
"175",-1,-1,-1,1,0.454516708527747
"176",1,1,1,-1,3.76284265224484
"177",-1,1,1,1,0.401479950806464
"178",1,1,-1,-1,1.25892050732945
"179",1,-1,-1,1,-2.59832199389451
"180",1,-1,1,-1,0.450737906761
"181",-1,1,1,-1,-0.853091444716532
"182",-1,1,-1,1,-0.522889213899155
"183",-1,1,1,-1,0.0632675825082145
"184",-1,-1,-1,-1,-1.83136516678981
"185",-1,-1,1,1,1.50797251207403
"186",-1,-1,1,-1,1.59498430860674
"187",-1,-1,-1,1,0.432546538806914
"188",-1,-1,1,-1,3.11700303020015
"189",-1,1,1,-1,-0.668120959256114
"190",-1,1,1,-1,0.626230927424784
"191",-1,-1,-1,-1,-1.40302046450924
"192",1,1,-1,1,-0.336765465967498
"193",-1,1,1,-1,-1.95613430053768
"194",1,-1,-1,-1,-1.89570150768022
"195",-1,1,-1,1,-1.03821186274902
"196",1,-1,1,1,0.276557363425326
"197",1,1,-1,1,-0.821053667956633
"198",1,1,1,1,1.33408744822452
"199",-1,-1,1,-1,1.25716399151518
"200",1,-1,-1,1,-2.57374204240995
"201",-1,1,1,1,1.19674511339182
"202",1,-1,1,1,1.48942897644666
"203",-1,1,1,1,1.89930334384769
"204",1,-1,1,1,-0.476873644660558
"205",1,1,-1,-1,0.944107517433811
"206",1,-1,1,1,-2.07488791948987
"207",1,1,-1,-1,1.1412467358556
"208",-1,1,1,1,1.49380314271599
"209",-1,-1,-1,1,0.361666651196557
"210",1,1,-1,-1,-1.3941740628335
"211",-1,1,1,1,0.0355383014943258
"212",1,1,-1,-1,0.781156789804197
"213",1,1,1,1,2.62278103021134
"214",-1,1,-1,-1,-2.92159795788255
"215",1,-1,1,1,-0.151154267746698
"216",1,-1,1,1,0.405841204067305
"217",1,1,1,1,3.30944017519017
"218",1,1,1,1,2.31289123801447
"219",-1,1,1,-1,0.426736498404417
"220",1,-1,1,-1,-0.583872057253522
"221",1,-1,-1,-1,-1.92050566627025
"222",1,1,1,-1,2.28697398605819
"223",1,1,1,1,2.6916415309468
"224",1,1,1,1,2.53517700491259
"225",1,-1,1,-1,1.22233573030036
"226",1,1,-1,1,0.296124013191858
"227",1,1,-1,-1,-0.461362698057796
"228",1,-1,1,1,-1.01208623199484
"229",-1,-1,1,1,2.97659799460472
"230",-1,1,-1,-1,-0.749317752556267
"231",1,1,-1,-1,-2.93957440322705
"232",-1,-1,1,-1,2.0483824931702
"233",-1,1,-1,-1,-1.55991545611929
"234",1,1,-1,-1,-0.340420658736742
"235",1,1,1,-1,3.17938310942807
"236",-1,-1,-1,1,-0.287670873156814
"237",1,1,-1,1,0.480523379518547
"238",1,-1,-1,1,-2.90985870576438
"239",1,-1,1,1,0.356219985710253
"240",1,1,1,-1,0.680456039232357
"241",1,1,1,1,1.84059431801155
"242",-1,-1,-1,-1,1.0386761794537
"243",-1,-1,-1,1,2.01977235539406
"244",1,1,-1,-1,0.00570684267398116
"245",-1,1,-1,1,-1.42451922369647
"246",-1,1,-1,1,-2.8161079014458
"247",-1,-1,1,-1,2.05598807389081
"248",-1,-1,1,1,1.00365299827056
"249",1,1,1,-1,1.26055161742942
"250",1,-1,-1,1,-2.25879315459109
"251",1,1,1,-1,1.31006829850379
"252",-1,-1,1,1,1.54419443278807
"253",1,-1,-1,-1,-1.35156107715183
"254",1,1,-1,1,-0.443783517008285
"255",1,1,1,1,3.24755527710624
"256",-1,1,1,-1,-1.70889385059511
"257",1,1,1,-1,3.56179216056796
"258",1,1,-1,-1,0.618100707585323
"259",1,1,1,-1,1.52730089294432
"260",-1,-1,-1,-1,1.19097877614344
"261",1,1,1,-1,0.00860984894218841
"262",-1,1,-1,-1,-1.32878152842927
"263",1,1,1,-1,0.823604643377752
"264",-1,-1,1,1,1.42739108249287
"265",-1,-1,-1,1,-0.319614803764616
"266",-1,1,1,-1,-0.251084500717758
"267",1,1,-1,1,0.265868851108763
"268",1,1,1,1,1.22360694959209
"269",1,1,1,-1,1.41396297594666
"270",1,-1,1,1,0.140006125530638
"271",1,-1,-1,-1,0.45959368255762
"272",-1,1,1,-1,1.29722593245215
"273",1,-1,1,-1,0.50664427008185
"274",-1,-1,1,-1,1.72823372984861
"275",-1,-1,-1,-1,-0.321105222673761
"276",-1,1,-1,1,-2.7942890783668
"277",1,1,1,1,3.58014135140757
"278",-1,1,-1,-1,-1.11129212567375
"279",-1,-1,1,1,3.48163750940912
"280",-1,1,1,-1,-1.52893520961226
"281",1,1,1,-1,2.89276504996731
"282",1,-1,1,1,-0.316209385259469
"283",1,-1,-1,-1,-0.000166086280280364
"284",-1,-1,1,-1,1.47314453014828
"285",-1,1,-1,-1,-1.27789678035783
"286",-1,-1,1,1,1.85993643739643
"287",1,-1,1,1,0.103053492747629
"288",1,-1,-1,1,-1.88725199946131
"289",1,-1,1,1,0.393988150729436
"290",-1,-1,-1,1,-0.100503817968405
"291",-1,-1,1,-1,0.905857339094185
"292",-1,-1,-1,-1,-0.945761677031209
"293",-1,-1,1,1,2.50116745139611
"294",1,1,1,-1,1.31014693845695
"295",-1,-1,1,1,1.90562656099144
"296",-1,-1,1,1,1.50663282193389
"297",-1,1,1,-1,-1.13742488523133
"298",-1,1,-1,1,-4.24507665021287
"299",-1,-1,-1,1,0.16489635168143
"300",1,1,1,1,3.49285047858442
"301",-1,1,-1,1,-3.37917922821772
"302",-1,1,1,-1,0.216447227536917
"303",1,-1,1,-1,-1.20970110813252
"304",1,-1,1,-1,0.286739935114252
"305",1,-1,-1,1,-2.42080967139231
"306",-1,-1,-1,-1,-0.337836508528716
"307",1,1,-1,1,-0.149001954068346
"308",-1,-1,-1,1,0.087804687990973
"309",1,-1,1,-1,-1.04276699654826
"310",-1,-1,-1,-1,0.697853423231493
"311",-1,1,1,-1,1.32504080531599
"312",1,1,-1,-1,-0.735655810586072
"313",1,-1,1,1,-0.750957394746379
"314",-1,-1,-1,-1,-0.33571055956732
"315",1,-1,1,-1,0.84043112678419
"316",1,-1,1,-1,0.312822769054564
"317",-1,-1,1,-1,1.77840018815245
"318",-1,-1,-1,1,0.763994137485284
"319",1,-1,1,-1,-0.96860442403404
"320",1,1,-1,-1,0.0112423715978828
"321",-1,1,1,1,-0.0234610037968498
"322",-1,1,1,-1,-1.79341686584259
"323",1,1,-1,1,0.164136418706266
"324",1,-1,-1,-1,-0.964039007707588
"325",1,-1,1,1,-1.9382357450915
"326",1,-1,-1,1,-2.48017369757059
"327",1,1,1,1,2.11697141595447
"328",-1,1,1,1,1.48191986483494
"329",1,-1,-1,-1,-1.62227830469617
"330",-1,-1,1,1,1.34652058348163
"331",-1,1,1,1,-0.805535450109423
"332",-1,-1,-1,-1,-0.312812788466173
"333",1,1,-1,1,-0.265060302529745
"334",1,-1,1,1,0.0441822215980541
"335",1,-1,1,-1,0.227007253943094
"336",1,-1,-1,-1,-1.63909578707199
"337",-1,-1,1,1,1.89374474899271
"338",1,1,1,1,2.92223985416717
"339",-1,-1,1,1,0.116987745679253
"340",-1,1,1,-1,2.2329004377548
"341",-1,1,-1,1,-1.70513407537141
"342",1,1,1,-1,2.49564091561275
"343",-1,1,-1,1,-1.51851879171199
"344",-1,-1,1,1,1.81100718414736
"345",-1,-1,-1,-1,1.36015804744922
"346",1,-1,1,1,-0.203587117320883
"347",-1,1,1,1,-0.575521263408088
"348",1,1,1,1,2.53910279860257
"349",1,1,1,-1,3.0124853683128
"350",-1,-1,1,-1,1.46867230798002
"351",-1,-1,-1,-1,1.00779800477227
"352",1,-1,1,1,0.218707517277063
"353",1,1,-1,-1,0.82641184901763
"354",-1,-1,-1,1,1.79147735570873
"355",-1,-1,-1,-1,0.740590305209009
"356",1,-1,1,1,0.662101079787796
"357",1,-1,1,-1,-0.455156953626261
"358",1,-1,-1,-1,-1.70854692739557
"359",1,1,-1,1,-1.26750695049216
"360",-1,1,1,-1,-0.279766625418897
"361",-1,-1,-1,-1,0.836068035077201
"362",1,1,1,-1,3.96005234290339
"363",1,1,1,1,1.13141412062251
"364",-1,1,1,1,-0.986421959353084
"365",-1,-1,1,1,-0.77144281822849
"366",1,-1,1,-1,-0.244307801619498
"367",1,1,-1,-1,-0.926323048013731
"368",1,1,1,-1,3.28495825979451
"369",1,1,1,-1,2.42868927658444
"370",-1,1,-1,1,-0.764597748459159
"371",1,1,1,1,0.953716679912853
"372",-1,1,1,1,2.35502323477566
"373",1,1,1,-1,2.71837271109453
"374",-1,-1,1,-1,2.67512007286336
"375",-1,1,1,1,0.0905272544905892
"376",-1,1,1,1,0.779223518408486
"377",1,1,-1,-1,-0.489044770084533
"378",-1,-1,1,-1,3.23053056976035
"379",-1,-1,1,-1,3.29741281988399
"380",1,-1,-1,-1,-2.25878546172523
"381",1,1,1,1,0.620329059202661
"382",-1,-1,-1,-1,-1.44282179338505
"383",1,1,-1,-1,1.01595995782307
"384",1,1,1,1,1.9687884816092
"385",-1,1,-1,1,-2.00136843719583
"386",-1,1,-1,-1,0.0930310168901696
"387",1,1,1,-1,1.72448370233996
"388",1,1,-1,1,1.36963447189225
"389",1,-1,-1,1,-3.04148962050477
"390",-1,-1,-1,1,-1.36416866160471
"391",-1,-1,-1,1,0.612657856167592
"392",-1,1,-1,1,-2.229315912153
"393",-1,1,-1,1,-1.96985314985636
"394",-1,1,-1,-1,-1.72910769820134
"395",-1,1,-1,1,-1.46093781539941
"396",-1,-1,1,-1,2.7237659930469
"397",1,1,1,-1,4.13909791377877
"398",-1,1,-1,1,-0.214662812607942
"399",-1,-1,1,1,1.43922913039398
"400",-1,-1,1,1,2.36501947106717
"401",1,1,-1,1,-1.70210624209145
"402",1,-1,-1,1,-1.3853894214161
"403",-1,-1,1,-1,2.6808244660922
"404",1,1,-1,1,1.29651847714965
"405",1,-1,1,1,-0.575127462909583
"406",1,-1,-1,-1,-1.28771442521154
"407",1,1,-1,-1,-0.959958220582315
"408",1,-1,-1,1,-2.57993042449252
"409",1,1,-1,1,-1.30939499831328
"410",1,1,-1,1,-0.714186561520111
"411",1,1,-1,1,-0.966493325194435
"412",1,1,-1,-1,-1.25624194622113
"413",-1,1,1,1,1.06577390909709
"414",1,-1,1,-1,-0.651431315113101
"415",1,-1,-1,-1,-0.908776701751808
"416",-1,-1,-1,-1,-0.574538473657455
"417",-1,1,1,1,1.1853323871818
"418",1,1,1,-1,1.44726120546634
"419",-1,1,-1,1,-2.55785271254329
"420",1,-1,1,1,1.28805925814564
"421",-1,1,-1,-1,-0.0606029070178067
"422",-1,-1,1,1,1.68624172494793
"423",-1,-1,1,-1,1.71943336725375
"424",1,-1,-1,-1,-2.98086540304913
"425",1,1,1,1,0.497526244743406
"426",1,-1,1,1,-0.858977659328633
"427",-1,1,-1,1,-0.710618116200179
"428",-1,1,-1,1,0.654928428692683
"429",1,-1,1,-1,-0.424705174284623
"430",-1,-1,1,1,2.1427675800621
"431",1,1,-1,-1,-0.0581516880747747
"432",-1,-1,1,-1,2.71905019196384
"433",-1,-1,1,1,2.00015903835873
"434",-1,1,1,-1,-0.00920121658763369
"435",-1,1,-1,-1,-0.995403236389331
"436",1,-1,-1,-1,-1.8454418363985
"437",1,-1,1,-1,-1.11066725036686
"438",-1,1,1,1,-0.728956341225124
"439",1,-1,1,-1,-0.387963345085245
"440",-1,1,-1,1,-1.73326897349975
"441",1,1,-1,-1,0.509253596602042
"442",-1,-1,1,1,1.72716638509037
"443",-1,1,-1,1,-2.16214290021371
"444",-1,1,1,1,-1.66835126334782
"445",-1,1,1,1,-0.65711499264825
"446",-1,1,1,-1,-0.200327204444131
"447",1,-1,1,-1,0.501668508336717
"448",-1,1,-1,1,-3.43314399957958
"449",-1,1,-1,-1,-3.1328913603453
"450",1,1,-1,1,0.215999601518379
"451",1,-1,-1,1,-0.844185294174159
"452",-1,1,-1,-1,-0.900696508910544
"453",1,-1,1,-1,0.935108545448838
"454",-1,-1,1,1,2.21826289137206
"455",-1,1,1,-1,-1.0367199279634
"456",1,1,1,1,2.68830009591071
"457",1,1,1,1,2.56253674637583
"458",-1,-1,1,1,1.62982147244061
"459",1,1,-1,1,-1.24369165532279
"460",-1,1,-1,1,-0.879844295677288
"461",1,1,-1,-1,0.652489584890583
"462",1,-1,1,-1,-0.0202592006788901
"463",-1,-1,1,1,0.989212277087729
"464",1,1,1,-1,2.68682548916115
"465",1,1,1,1,0.744002388952972
"466",-1,-1,-1,-1,-0.847844076389431
"467",-1,-1,-1,1,0.00803568403123133
"468",1,-1,1,1,-1.55530774090909
"469",-1,-1,-1,1,-0.172413831939144
"470",-1,-1,-1,-1,0.147118361144142
"471",-1,-1,-1,-1,0.160564760331286
"472",-1,1,1,-1,-0.518999802712956
"473",1,-1,-1,-1,0.0724543737239496
"474",1,-1,-1,1,-2.11618862962307
"475",1,1,1,-1,2.45251704933316
"476",-1,1,1,1,0.686034322137876
"477",-1,-1,1,-1,2.08390510345396
"478",1,-1,-1,1,-2.07144575030121
"479",1,1,1,-1,1.24443329288684
"480",1,-1,1,1,-0.465282407084975
"481",1,1,-1,1,1.54785667076307
"482",1,1,-1,1,-0.152232202775435
"483",1,1,1,1,0.838100852987461
"484",1,1,-1,1,-0.30202655706823
"485",-1,-1,1,-1,2.16739452665399
"486",-1,1,-1,-1,-0.884855331662285
"487",1,1,-1,-1,0.407449048553115
"488",-1,-1,1,1,1.02277658017011
"489",1,-1,1,-1,0.360881144945317
"490",1,-1,-1,-1,0.300975492684222
"491",1,1,1,-1,2.4641702955311
"492",1,1,-1,-1,0.497813058187522
"493",1,1,-1,1,-0.327549729793792
"494",-1,-1,1,-1,2.07005051032501
"495",1,1,-1,-1,1.39122299052224
"496",1,1,-1,1,-0.124977768355435
"497",1,-1,-1,1,-1.98523080460831
"498",-1,-1,1,-1,1.6378013212207
"499",-1,1,-1,1,-0.234244286143855
"500",-1,-1,-1,1,0.641561441472276
"501",-1,-1,1,-1,1.42101222181793
"502",1,1,-1,-1,-5.32023821468412e-05
"503",1,-1,-1,1,-0.568606377462686
"504",1,1,1,1,1.55739130018993
"505",1,-1,-1,1,-0.599760384875464
"506",1,1,1,-1,1.52832184103573
"507",-1,-1,-1,1,-1.85447835599571
"508",-1,-1,-1,1,-0.151408675283698
"509",-1,-1,-1,1,1.22941232182678
"510",1,1,1,-1,3.17081965932048
"511",-1,-1,1,-1,1.97503792549018
"512",-1,-1,-1,-1,0.613784533409382
"513",-1,-1,-1,1,0.994601853658178
"514",1,-1,1,-1,0.620835473393425
"515",1,-1,-1,1,-2.7113719147045
"516",1,1,1,-1,3.60594726157414
"517",-1,-1,-1,1,0.384815851349813
"518",1,-1,1,-1,-0.036117739973809
"519",-1,1,-1,1,-3.29277794194478
"520",-1,1,-1,1,-3.48669174202376
"521",-1,1,-1,-1,-2.11471192302793
"522",1,1,1,1,2.02780435333549
"523",-1,-1,1,1,2.75875446434842
"524",-1,1,1,-1,1.62685293723523
"525",1,1,-1,-1,-0.506417986441198
"526",-1,1,1,-1,0.912515275430807
"527",1,1,-1,-1,1.67186772003945
"528",-1,1,1,-1,0.406778013144464
"529",1,1,1,1,2.41581685836605
"530",1,-1,-1,1,-1.0752069878725
"531",1,1,-1,1,0.102166942927145
"532",-1,-1,-1,-1,0.519652829768373
"533",1,1,-1,1,0.712084646457929
"534",1,1,-1,-1,-0.696420408095029
"535",1,1,-1,1,-0.595422853320004
"536",-1,1,-1,1,-1.21991787231179
"537",-1,1,-1,1,-4.16848583409141
"538",1,1,-1,1,1.14519317873034
"539",1,-1,1,1,-0.337475386315124
"540",-1,-1,1,-1,2.72051024451971
"541",-1,1,-1,-1,-1.15153839396583
"542",-1,1,-1,1,-1.42683279476007
"543",-1,1,-1,1,-2.96913590166597
"544",1,-1,-1,-1,-1.34709982558284
"545",-1,1,1,-1,0.624215482970408
"546",1,-1,-1,-1,-2.34588121819496
"547",1,-1,1,-1,1.25860928753683
"548",-1,1,1,-1,0.4265591860857
"549",1,1,-1,1,-0.929403618414522
"550",-1,1,-1,1,-0.988196305858177
"551",-1,1,1,-1,0.311241307188141
"552",1,1,-1,1,-1.46686231977849
"553",-1,-1,1,1,2.07509407835818
"554",-1,-1,1,-1,1.15049096690577
"555",-1,-1,1,1,2.11711504252127
"556",1,1,-1,1,-0.530828062729565
"557",1,-1,-1,-1,-1.79840573048015
"558",1,-1,1,-1,-0.0659448624800293
"559",1,-1,-1,-1,-0.802626049851315
"560",1,-1,-1,-1,-2.63366217229187
"561",-1,-1,-1,-1,0.245184206069477
"562",1,-1,1,-1,-1.05651820757042
"563",1,1,-1,-1,0.03923357311
"564",1,-1,-1,-1,-2.49916062915467
"565",-1,1,-1,1,-1.49205221349052
"566",-1,1,1,-1,-1.04911029777134
"567",1,-1,1,1,-0.0224635004277834
"568",-1,1,1,1,0.0337677585861846
"569",1,-1,1,1,0.571702557499379
"570",1,-1,1,-1,0.118481668569042
"571",1,-1,-1,-1,-1.56273549308719
"572",-1,-1,-1,1,-0.127627687235006
"573",-1,-1,1,-1,1.61134246217631
"574",1,-1,-1,1,-3.57269705972854
"575",1,1,1,1,0.848283506001373
"576",-1,-1,1,-1,1.35103448256918
"577",1,-1,-1,-1,-2.44029728963411
"578",1,-1,-1,1,-2.20711332927319
"579",-1,-1,-1,1,0.146390513246572
"580",-1,1,-1,1,-0.791527356564569
"581",-1,-1,-1,-1,-0.0547093557357199
"582",1,-1,1,-1,-0.709627758433379
"583",1,1,1,1,2.70004347986967
"584",1,1,1,-1,3.69905701177593
"585",1,-1,-1,1,-2.21277437916577
"586",1,1,1,1,2.59018331583102
"587",1,-1,-1,1,-2.28143869822655
"588",-1,1,1,1,-0.587637608602452
"589",-1,1,-1,1,-3.52474179371096
"590",1,-1,1,-1,-0.388205066071959
"591",1,-1,-1,-1,-2.55341402149053
"592",-1,1,1,-1,-0.287442942148251
"593",1,-1,1,-1,1.09916063873302
"594",1,-1,-1,1,-3.14506385417913
"595",-1,1,1,-1,-0.730864340627612
"596",-1,1,1,-1,1.39046367869509
"597",1,1,1,-1,2.32780168633533
"598",-1,-1,-1,-1,1.2677108643547
"599",-1,-1,1,1,2.31571856302496
"600",-1,-1,-1,-1,0.60525023572557
"601",1,-1,1,-1,-0.208589681523973
"602",1,1,1,1,0.0645699879189605
"603",-1,1,-1,-1,-0.552636657215825
"604",-1,1,1,1,2.4397937166573
"605",-1,-1,1,-1,1.87620569110213
"606",-1,-1,-1,1,-0.66660563903869
"607",-1,1,1,-1,-0.192555547935436
"608",-1,-1,-1,-1,-1.0565609564047
"609",-1,1,1,1,-1.21077576175809
"610",-1,-1,-1,1,0.409528586454932
"611",-1,1,1,-1,-0.462243636029759
"612",1,1,-1,-1,0.464158829544294
"613",-1,-1,1,-1,0.556028010311727
"614",1,1,-1,-1,-0.801080574744714
"615",1,-1,-1,-1,-3.48297864917169
"616",1,-1,-1,-1,-2.61261321652251
"617",-1,-1,1,1,2.63571786397304
"618",1,-1,-1,1,-2.36867925038525
"619",1,-1,-1,-1,-1.68371948773734
"620",-1,1,-1,1,-2.79168693776027
"621",-1,1,-1,-1,-2.0441220328396
"622",-1,-1,-1,-1,0.146448157100845
"623",-1,1,-1,-1,-0.822131183393123
"624",-1,1,-1,1,-1.57952078808499
"625",-1,1,-1,1,-0.525632518461871
"626",-1,-1,1,1,2.52202403677619
"627",-1,1,-1,1,-3.11310240668987
"628",1,-1,-1,-1,-2.51777930789633
"629",-1,1,-1,-1,-1.87560709117778
"630",-1,1,-1,1,-2.3099766378072
"631",-1,-1,1,-1,2.13341937202466
"632",-1,1,1,1,0.661790916697259
"633",-1,-1,-1,1,-1.32534170401489
"634",1,1,1,1,1.92026922738661
"635",-1,-1,1,-1,0.731724514184614
"636",1,1,-1,1,0.805036527340495
"637",-1,-1,1,1,2.33377021236184
"638",1,-1,-1,-1,-2.70539743000909
"639",-1,-1,-1,1,1.64965082708372
"640",1,-1,1,1,-0.480408969324485
"641",1,1,1,1,1.74040981297892
"642",-1,1,-1,1,-1.00651076601794
"643",-1,-1,1,1,2.5168436686244
"644",1,1,1,1,1.04309055108437
"645",1,-1,1,1,0.7630335929839
"646",-1,1,-1,-1,-1.35234879591774
"647",1,1,-1,-1,1.2398963187628
"648",1,1,1,1,0.949205826429569
"649",1,-1,1,-1,0.119803593111142
"650",-1,1,-1,1,-0.579992910020759
